record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1096552891","563396683","-638979594","1108.65","8.314","19.200000000000045","124","20","1","23.23",
"1096552892","563397354","-638980468","1117.03","8.304","19.0","123","20","1","22.97",
"1096552893","563398010","-638981365","1125.41","8.323","19.0","123","20","1","22.97",
"1096552894","563398635","-638982302","1133.79","8.332","18.799999999999955","122","20","1","22.97",
"1096552895","563399232","-638983265","1142.03","8.398","18.799999999999955","121","20","1","22.97",
"1096552896","563399859","-638984205","1150.41","8.426","18.799999999999955","121","20","1","22.79",
"1096552897","563400488","-638985137","1158.68","8.472","18.600000000000023","120","20","1","22.79",
"1096552898","563401101","-638986120","1167.12","8.519","18.399999999999977","122","20","1","22.79",
"1096552899","563401728","-638987119","1175.84","8.584","18.399999999999977","122","20","1","22.79",
"1096552900","563402330","-638988118","1184.31","8.612","18.200000000000045","122","20","1","22.79",
"1096552901","563402924","-638989124","1192.75","8.622","18.200000000000045","122","20","1","22.79",
"1096552902","563403533","-638990128","1201.23","8.678","18.0","122","20","1","22.79",
"1096552903","563404150","-638991158","1209.88","8.734","17.799999999999955","122","20","1","22.79",
"1096552904","563404767","-638992238","1218.87","8.799","17.799999999999955","122","20","1","22.79",
"1096552905","563405387","-638993286","1227.7","8.799","17.600000000000023","122","20","1","22.79",
"1096552906","563406021","-638994313","1236.45","8.818","17.600000000000023","121","20","1","22.79",
"1096552907","563406666","-638995351","1245.33","8.892","17.399999999999977","121","20","1","22.79",
"1096552908","563407328","-638996403","1254.44","8.939","17.399999999999977","123","20","1","22.79",
"1096552909","563407990","-638997438","1263.54","8.939","17.200000000000045","123","20","1","22.79",
"1096552910","563408607","-638998494","1272.36","8.948","17.200000000000045","123","20","1","22.79",
"1096552911","563409223","-638999560","1281.25","8.948","17.0","123","20","1","22.79",
"1096552912","563409858","-639000613","1290.11","8.976","16.799999999999955","123","20","1","22.79",
"1096552913","563410502","-639001684","1299.21","9.013","16.799999999999955","123","20","1","22.79",
"1096552914","563411149","-639002741","1308.23","9.004","16.600000000000023","123","20","1","22.79",
"1096552915","563411792","-639003782","1317.07","8.92","16.399999999999977","123","20","1","22.79",
"1096552916","563412445","-639004825","1326.16","8.836","16.399999999999977","123","20","1","22.79",
"1096552917","563413072","-639005832","1334.81","8.687","16.399999999999977","122","20","1","22.79",
"1096552918","563413709","-639006819","1343.41","8.631","16.399999999999977","122","20","1","27.53",
"1096552919","563414343","-639007822","1352.1","8.65","16.399999999999977","121","20","1","27.53",
"1096552920","563414951","-639008840","1360.75","8.575","16.399999999999977","120","20","1","27.53",
"1096552921","563415545","-639009837","1369.14","8.454","16.600000000000023","120","20","1","27.53",
"1096552922","563416147","-639010796","1377.36","8.295","16.799999999999955","119","20","1","27.53",
"1096552923","563416730","-639011798","1385.81","8.248","17.0","117","20","1","27.53",
"1096552924","563417284","-639012779","1393.87","8.136","17.200000000000045","117","20","1","27.8",
"1096552925","563417855","-639013745","1401.98","8.052","17.399999999999977","117","20","1","27.8",
"1096552926","563418413","-639014679","1409.87","7.894","17.600000000000023","117","20","1","27.8",
"1096552927","563418938","-639015641","1417.7","7.819","17.799999999999955","117","20","1","27.8",
"1096552928","563419435","-639016592","1425.29","7.698","17.799999999999955","117","20","1","27.8",
"1096552929","563419928","-639017552","1432.87","7.642","18.0","117","20","1","27.8",
"1096552930","563420402","-639018535","1440.49","7.605","18.0","114","20","1","27.8",
"1096552931","563420868","-639019514","1448.11","7.502","18.0","114","20","1","27.8",
"1096552932","563421271","-639020528","1455.61","7.418","18.200000000000045","114","20","1","27.8",
"1096552933","563421643","-639021533","1462.91","7.269","18.200000000000045","115","20","1","27.8",
"1096552934","563421990","-639022541","1470.02","7.241","18.200000000000045","115","20","1","27.44",
"1096552935","563422335","-639023554","1477.16","7.185","18.399999999999977","115","20","1","27.44",
"1096552936","563422658","-639024593","1484.47","7.194","18.399999999999977","116","20","1","27.44",
"1096552937","563422962","-639025614","1491.5","7.166","18.600000000000023","114","20","1","27.44",
"1096552938","563423252","-639026667","1498.72","7.175","18.799999999999955","114","20","1","27.44",
"1096552939","563423532","-639027734","1505.97","7.185","18.799999999999955","114","20","1","28.53",
"1096552940","563423799","-639028811","1513.28","7.222","19.0","114","20","1","28.53",
"1096552941","563424037","-639029882","1520.41","7.287","19.0","114","20","1","28.53",
"1096552942","563424238","-639030994","1527.73","7.371","19.0","113","20","1","28.53",
"1096552943","563424434","-639032109","1534.94","7.465","19.200000000000045","113","20","1","28.53",
"1096552944","563424619","-639033294","1542.66","7.595","19.200000000000045","113","20","1","28.07",
"1096552945","563424801","-639034506","1550.58","7.782","19.399999999999977","113","20","1","28.07",
"1096552946","563424956","-639035736","1558.53","7.922","19.399999999999977","113","20","1","28.07",
"1096552947","563425067","-639037021","1566.78","8.202","19.399999999999977","113","20","1","28.07",
"1096552948","563425171","-639038336","1575.24","8.472","19.399999999999977","113","20","1","28.07",
"1096552949","563425274","-639039664","1583.66","8.762","19.399999999999977","113","20","1","26.98",
"1096552950","563425375","-639041070","1592.61","9.013","19.399999999999977","112","20","1","26.98",
"1096552951","563425469","-639042521","1601.83","9.293","19.200000000000045","112","20","1","26.98",
"1096552952","563425596","-639044008","1611.32","9.48","19.0","112","20","1","26.98",
"1096552953","563425713","-639045547","1621.14","9.704","18.799999999999955","112","20","1","26.98",
"1096552954","563425818","-639047145","1631.39","9.975","18.399999999999977","112","20","1","26.98",
"1096552955","563425916","-639048749","1641.69","10.198","17.799999999999955","112","20","1","26.98",
"1096552956","563426033","-639050343","1651.84","10.394","17.600000000000023","114","20","1","27.04",
"1096552957","563426160","-639051974","1662.22","10.572","17.399999999999977","115","20","1","27.04",
"1096552958","563426287","-639053645","1672.89","10.712","16.799999999999955","115","20","1","27.04",
"1096552959","563426411","-639055346","1683.72","10.833","16.600000000000023","115","20","1","27.04",
"1096552960","563426538","-639057075","1694.79","10.936","16.200000000000045","115","20","1","27.04",
"1096552961","563426662","-639058806","1705.87","11.001","15.799999999999955","115","20","1","27.04",
"1096552962","563426780","-639060531","1716.81","11.038","15.399999999999977","115","20","1","27.04",
"1096552963","563426909","-639062297","1728.07","11.113","15.0","118","20","1","27.04",
"1096552964","563427058","-639064065","1739.39","11.15","14.799999999999955","118","20","1","27.04",
"1096552965","563427172","-639065822","1750.63","11.104","14.600000000000023","118","20","1","27.04",
"1096552966","563427233","-639067558","1761.64","11.01","14.200000000000045","0","20","1","25.95",
"1096552967","563427253","-639069306","1772.73","10.973","14.200000000000045","0","20","1","25.95",
"1096552968","563427249","-639071040","1783.73","10.898","14.0","0","20","1","25.95",
"1096552969","563427201","-639072764","1794.68","10.842","13.799999999999955","0","20","1","25.95",
"1096552970","563427080","-639074450","1805.43","10.721","13.600000000000023","0","20","1","25.95",
"1096552971","563426893","-639076114","1816.14","10.59","13.399999999999977","0","20","1","25.95",
"1096552972","563426625","-639077725","1826.69","10.45","13.399999999999977","0","20","1","25.95",
"1096552973","563426310","-639079285","1837.06","10.366","13.399999999999977","0","20","1","25.95",
"1096552974","563425924","-639080785","1847.24","10.31","13.399999999999977","0","20","1","25.95",
"1096552975","563425480","-639082241","1857.29","10.273","13.200000000000045","0","20","1","25.95",
"1096552976","563425004","-639083706","1867.62","10.208","13.200000000000045","0","20","1","25.95",
"1096552977","563424489","-639085111","1877.74","10.124","13.200000000000045","0","20","1","25.95",
"1096552978","563423999","-639086508","1887.74","9.956","13.200000000000045","0","20","1","25.95",
"1096552979","563423540","-639087895","1897.52","9.788","13.200000000000045","107","20","1","25.95",
"1096552980","563423070","-639089236","1907.09","9.592","13.200000000000045","107","20","1","25.95",
"1096552981","563422605","-639090548","1916.51","9.331","13.399999999999977","107","20","1","25.95",
"1096552982","563422154","-639091837","1925.68","9.219","13.399999999999977","107","20","1","25.95",
"1096552983","563421703","-639093124","1934.85","9.172","13.399999999999977","107","20","1","25.95",
"1096552984","563421275","-639094407","1943.93","9.069","13.399999999999977","106","19","1","25.95",
"1096552985","563420893","-639095694","1952.84","8.92","13.600000000000023","106","20","1","25.95",
"1096552986","563420530","-639096991","1961.7","8.873","13.600000000000023","106","20","1","25.95",
"1096552987","563420199","-639098296","1970.58","8.771","13.600000000000023","106","19","1","25.95",
"1096552988","563419904","-639099602","1979.29","8.734","13.799999999999955","106","19","1","23.03",
"1096552989","563419636","-639100927","1988.09","8.734","14.0","107","19","1","23.03",
"1096552990","563419381","-639102231","1996.69","8.678","14.200000000000045","107","19","1","23.03",
"1096552991","563419161","-639103543","2005.25","8.575","14.399999999999977","106","19","1","23.03",
"1096552992","563418991","-639104873","2013.86","8.528","14.600000000000023","106","19","1","23.03",
"1096552993","563418833","-639106189","2022.37","8.5","14.600000000000023","106","19","1","23.03",
"1096552994","563418695","-639107487","2030.68","8.398","14.799999999999955","106","19","1","24.41",
"1096552995","563418572","-639108792","2039.06","8.342","15.200000000000045","107","19","1","24.41",
"1096552996","563418469","-639110085","2047.33","8.276","15.399999999999977","107","19","1","24.41",
"1096552997","563418424","-639111372","2055.49","8.267","15.399999999999977","108","19","1","24.41",
"1096552998","563418395","-639112677","2063.77","8.314","15.600000000000023","108","19","1","24.41",
"1096552999","563418406","-639113981","2072.1","8.342","15.600000000000023","109","19","1","23.75",
"1096553000","563418426","-639115260","2080.17","8.36","15.799999999999955","110","19","1","23.75",
"1096553001","563418466","-639116555","2088.4","8.332","15.799999999999955","110","19","1","23.75",
"1096553002","563418541","-639117845","2096.58","8.314","16.0","111","19","1","23.75",
"1096553003","563418632","-639119148","2104.88","8.258","16.0","111","19","1","23.75",
"1096553004","563418771","-639120434","2113.16","8.202","16.200000000000045","112","19","1","25.28",
"1096553005","563418906","-639121686","2121.22","8.043","16.200000000000045","113","19","1","25.28",
"1096553006","563419049","-639122940","2129.27","7.987","16.399999999999977","113","19","1","25.28",
"1096553007","563419207","-639124172","2137.3","7.819","16.399999999999977","113","19","1","25.28",
"1096553008","563419384","-639125364","2145.0","7.772","16.600000000000023","114","19","1","25.28",
"1096553009","563419563","-639126555","2152.73","7.716","16.799999999999955","114","19","1","24.33",
