record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.temperature[C],record.unknown,
"1096455742","568858557","-629929084","1515.24","12.606","172.0","12","1",
"1096455743","568857777","-629930778","1528.12","12.848","172.20000000000005","12","1",
"1096455744","568856996","-629932513","1541.22","13.044","172.20000000000005","12","1",
"1096455745","568856255","-629934312","1554.47","13.24","172.20000000000005","11","1",
"1096455746","568855584","-629936191","1567.76","13.436","172.39999999999998","11","1",
"1096455747","568855147","-629938259","1581.26","13.651","172.39999999999998","11","1",
"1096455748","568854996","-629940456","1595.13","13.753","172.60000000000002","11","1",
"1096455749","568855173","-629942646","1609.02","13.8","172.60000000000002","11","1",
"1096455750","568855654","-629944704","1622.67","13.772","172.60000000000002","11","1",
"1096455751","568856181","-629946750","1636.42","13.688","172.79999999999995","11","1",
"1096455752","568856657","-629948812","1650.15","13.52","172.79999999999995","11","1",
"1096455753","568857083","-629950847","1663.63","13.268","173.0","11","1",
"1096455754","568857465","-629952827","1676.58","12.979","173.0","11","1",
"1096455755","568857803","-629954799","1689.42","12.755","173.20000000000005","11","1",
"1096455756","568858053","-629956741","1701.82","12.522","173.39999999999998","11","1",
"1096455757","568858220","-629958715","1714.31","12.438","173.60000000000002","11","1",
"1096455758","568858315","-629960692","1726.81","12.372","173.60000000000002","11","1",
"1096455759","568858387","-629962641","1739.09","12.233","173.79999999999995","11","1",
"1096455760","568858356","-629964589","1751.33","12.186","174.0","11","1",
"1096455761","568858189","-629966548","1763.73","12.298","174.20000000000005","11","1",
"1096455762","568857878","-629968489","1776.19","12.522","174.20000000000005","11","1",
"1096455763","568857330","-629970337","1788.81","12.615","174.39999999999998","11","1",
"1096455764","568856621","-629972070","1801.6","12.615","174.39999999999998","11","1",
"1096455765","568855829","-629973681","1814.09","12.606","174.60000000000002","11","1",
"1096455766","568854897","-629975122","1826.61","12.578","174.60000000000002","11","1",
"1096455767","568853824","-629976313","1839.02","12.54","174.60000000000002","11","1",
"1096455768","568852676","-629977337","1851.46","12.438","174.79999999999995","11","1",
"1096455769","568851472","-629978157","1863.79","12.214","175.0","11","1",
"1096455770","568850241","-629978771","1875.93","11.934","175.0","11","1",
"1096455771","568849040","-629979383","1887.84","11.747","175.20000000000005","11","1",
"1096455772","568847882","-629979998","1899.36","11.589","175.20000000000005","11","1",
"1096455773","568846774","-629980669","1910.48","11.402","175.39999999999998","11","1",
"1096455774","568845711","-629981459","1921.49","11.262","175.60000000000002","11","1",
"1096455775","568844717","-629982427","1932.58","11.113","175.79999999999995","11","1",
"1096455776","568843775","-629983467","1943.54","11.001","176.0","11","1",
"1096455777","568842863","-629984544","1954.36","10.954","176.0","11","1",
"1096455778","568841956","-629985636","1965.21","10.898","176.20000000000005","11","1",
"1096455779","568841076","-629986788","1976.14","10.852","176.60000000000002","11","1",
"1096455780","568840151","-629987860","1987.16","10.814","176.79999999999995","11","1",
"1096455781","568839242","-629988905","1997.86","10.777","177.0","11","1",
"1096455782","568838329","-629989959","2008.65","10.768","177.0","11","1",
"1096455783","568837387","-629990952","2019.48","10.786","177.20000000000005","11","1",
"1096455784","568836457","-629991909","2029.96","10.693","177.39999999999998","11","1",
"1096455785","568835501","-629992862","2040.69","10.702","177.39999999999998","11","1",
"1096455786","568834535","-629993801","2051.44","10.73","177.60000000000002","11","1",
"1096455787","568833565","-629994722","2062.21","10.656","177.79999999999995","11","1",
"1096455788","568832566","-629995564","2072.88","10.684","177.79999999999995","11","1",
"1096455789","568831519","-629996291","2083.66","10.712","178.0","11","1",
"1096455790","568830463","-629996988","2094.46","10.702","178.20000000000005","11","1",
"1096455791","568829394","-629997640","2105.22","10.768","178.39999999999998","11","1",
"1096455792","568828314","-629998287","2116.06","10.814","178.39999999999998","11","1",
"1096455793","568827232","-629998965","2127.05","10.87","178.60000000000002","11","1",
"1096455794","568826157","-629999639","2137.96","10.87","178.79999999999995","11","1",
"1096455795","568825110","-630000370","2148.7","10.833","179.0","11","1",
"1096455796","568824057","-630001137","2159.71","10.861","179.0","11","1",
"1096455797","568823002","-630001874","2170.51","10.982","179.20000000000005","11","1",
"1096455798","568821928","-630002623","2181.58","11.066","179.20000000000005","11","1",
"1096455799","568820864","-630003416","2192.64","11.094","179.39999999999998","11","1",
"1096455800","568819779","-630004194","2203.94","11.132","179.60000000000002","11","1",
