record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.enhanced_speed[m/s],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],
"1081887778","567704729","-628833803","1049.83","7.978","44.799999999999955","126","16","126","22.31",,
"1081887779","567705507","-628833380","1057.72","8.034","44.799999999999955","127","16","127","22.31",,
"1081887780","567706272","-628833009","1064.83","8.108","45.0","127","16","127","22.75",,
"1081887781","567707111","-628832585","1072.91","8.164","45.0","128","16","128","22.75",,
"1081887782","567707972","-628832144","1081.66","8.136","45.0","128","16","128","22.75",,
"1081887783","567708786","-628831745","1089.44","8.127","45.0","129","15","129","22.75",,
"1081887784","567709627","-628831325","1097.64","8.146","45.0","129","15","129","22.75",,
"1081887785","567710471","-628830903","1105.87","7.996","45.0","129","15","129","22.64",,
"1081887786","567711325","-628830448","1114.51","7.931","45.200000000000045","129","15","129","22.64",,
"1081887787","567712039","-628829755","1122.31","7.903","45.200000000000045","129","15","129","22.64",,
"1081887788","567712647","-628828795","1130.7","7.894","45.200000000000045","129","15","129","22.64",,
"1081887789","567713141","-628827799","1138.5","7.791","45.39999999999998","129","15","129","22.64",,
"1081887790","567713578","-628826759","1146.26","7.577","45.39999999999998","128","15","128","24.94",,
"1081887791","567713996","-628825765","1153.66","7.259","45.39999999999998","128","15","128","24.94",,
"1081887792","567714339","-628824936","1159.83","6.252","45.60000000000002","127","15","127","24.94",,
"1081887793","567714637","-628824239","1165.07","5.356","45.60000000000002","127","15","127","24.94",,
"1081887794","567714928","-628823678","1169.36","4.488","45.799999999999955","125","15","125","24.94",,
"1081887795","567715126","-628823158","1173.09","3.574","45.799999999999955","124","15","124","26.07",,
"1081887796","567715180","-628822637","1176.33","3.452","46.0","123","15","123","26.07",,
"1081887797","567715061","-628822073","1179.67","4.18","46.0","122","15","122","26.07",,
"1081887798","567714798","-628821364","1184.84","4.843","46.0","121","15","121","26.07",,
"1081887799","567714519","-628820658","1189.91","5.374","46.200000000000045","120","15","120","26.07",,
"1081887800","567714083","-628820056","1195.5","5.617","46.200000000000045","119","15","119","27.22",,
"1081887801","567713607","-628819520","1201.11","5.748","46.200000000000045","119","15","119","27.22",,
"1081887802","567713161","-628819090","1205.79","5.3","46.200000000000045","119","15","119","27.22",,
"1081887803","567712689","-628818669","1211.07","4.525","46.39999999999998","118","15","118","27.22",,
"1081887804","567712247","-628818353","1215.67","4.311","46.39999999999998","118","15","118","27.22",,
"1081887805","567711827","-628818029","1219.68","4.395","46.39999999999998","118","15","118","27.22",,
"1081887806","567711490","-628817354","1224.81","4.861","46.60000000000002","118","15","118","26.02",,
"1081887807","567711477","-628816495","1230.16","5.374","46.60000000000002","118","15","118","26.02",,
"1081887808","567711608","-628815575","1236.03","6.046","46.60000000000002","118","15","118","26.02",,
"1081887809","567711867","-628814644","1242.25","6.485","46.60000000000002","119","15","119","26.02",,
"1081887810","567712234","-628813588","1249.86","7.231","46.799999999999955","119","15","119","25.62",,
"1081887811","567712557","-628812534","1257.14","7.483","46.799999999999955","119","15","119","25.62",,
"1081887812","567712900","-628811439","1264.63","7.8","46.799999999999955","120","15","120","25.62",,
"1081887813","567713245","-628810239","1272.9","8.043","46.799999999999955","120","15","120","25.62",,
"1081887814","567713587","-628809050","1280.99","8.164","46.60000000000002","121","15","121","25.62",,
"1081887815","567713868","-628807779","1289.49","8.351","46.60000000000002","121","15","121","24.56",,
"1081887816","567714099","-628806507","1297.74","8.5","46.60000000000002","122","15","122","24.56",,
"1081887817","567714314","-628805139","1306.61","8.78","46.39999999999998","122","14","122","24.56",,
"1081887818","567714537","-628803754","1315.59","8.985","46.200000000000045","122","14","122","24.56",,
"1081887819","567714740","-628802352","1324.56","9.041","46.0","122","14","122","24.56",,
"1081887820","567714999","-628800966","1333.57","8.855","46.0","122","14","122","23.46",,
"1081887821","567715215","-628799682","1341.98","7.996","45.799999999999955","122","14","122","23.46",,
"1081887822","567715424","-628798539","1349.58","7.119","45.799999999999955","121","14","121","23.46",,
"1081887823","567715635","-628797545","1356.1","6.634","45.60000000000002","120","14","120","23.46",,
"1081887824","567715778","-628796547","1362.43","6.42","45.39999999999998","119","14","119","23.46",,
"1081887825","567715613","-628795593","1368.28","6.364","45.39999999999998","118","14","118","23.51",,
"1081887826","567715147","-628794847","1374.48","6.382","45.39999999999998","116","14","116","23.51",,
"1081887827","567714467","-628794475","1381.02","6.653","45.39999999999998","115","14","115","23.51",,
"1081887828","567713715","-628794258","1388.35","6.83","45.39999999999998","115","14","115","23.51",,
"1081887829","567713006","-628794161","1394.77","6.933","45.39999999999998","114","14","114","23.51",,
"1081887830","567712228","-628794048","1402.04","7.035","45.39999999999998","114","14","114","24.33",,
"1081887831","567711453","-628793792","1409.75","7.101","45.200000000000045","114","14","114","24.33",,
"1081887832","567710763","-628793573","1416.23","7.101","45.39999999999998","115","14","115","24.33",,
"1081887833","567710064","-628793195","1422.89","7.231","45.60000000000002","117","14","117","24.33",,
"1081887834","567709330","-628792648","1430.52","7.315","45.799999999999955","118","14","118","24.33",,
"1081887835","567708618","-628792081","1438.16","7.306","46.200000000000045","119","14","119","24.1",,
"1081887836","567707965","-628791488","1445.24","7.287","46.60000000000002","120","14","120","24.1",,
"1081887837","567707336","-628790748","1452.83","7.259","46.799999999999955","121","14","121","24.1",,
"1081887838","567706756","-628789986","1460.18","7.147","46.799999999999955","122","14","122","24.1",,
"1081887839","567706244","-628789170","1467.22","7.185","46.799999999999955","122","14","122","24.1",,
"1081887840","567705759","-628788305","1474.16","7.315","47.200000000000045","123","14","123","23.94",,
"1081887841","567705259","-628787436","1481.28","7.353","47.200000000000045","123","14","123","23.94",,
"1081887842","567704807","-628786483","1488.6","7.409","47.60000000000002","125","14","125","23.94",,
"1081887843","567704395","-628785455","1496.15","7.483","47.60000000000002","125","14","125","23.94",,
"1081887844","567703996","-628784366","1504.05","7.633","47.60000000000002","126","14","126","23.94",,
"1081887845","567703603","-628783340","1511.26","7.716","47.799999999999955","127","14","127","23.83",,
"1081887846","567703150","-628782249","1519.45","7.754","48.0","127","14","127","23.83",,
"1081887847","567702765","-628781146","1527.34","7.772","48.0","127","14","127","23.83",,
"1081887848","567702423","-628780027","1535.08","7.744","48.200000000000045","128","14","128","23.83",,
"1081887849","567702070","-628778920","1542.79","7.735","48.200000000000045","129","14","129","23.83",,
"1081887850","567701707","-628777828","1550.46","7.688","48.39999999999998","129","14","129","23.76",,
"1081887851","567701356","-628776734","1558.12","7.642","48.39999999999998","129","14","129","23.76",,
"1081887852","567701051","-628775622","1565.65","7.586","48.39999999999998","130","14","130","23.76",,
"1081887853","567700718","-628774534","1573.09","7.502","48.39999999999998","130","13","130","23.76",,
"1081887854","567700422","-628773415","1580.79","7.287","48.60000000000002","131","14","131","23.76",,
"1081887855","567700153","-628772347","1588.05","7.119","48.799999999999955","131","13","131","24.11",,
"1081887856","567699879","-628771356","1594.77","6.989","48.799999999999955","131","13","131","24.11",,
"1081887857","567699608","-628770382","1601.33","6.793","49.0","131","13","131","24.11",,
"1081887858","567699342","-628769425","1607.87","6.578","49.200000000000045","131","13","131","24.11",,
"1081887859","567699148","-628768487","1614.03","6.224","49.200000000000045","131","13","131","24.11",,
"1081887860","567698936","-628767600","1620.02","5.794","49.39999999999998","131","13","131","24.34",,
"1081887861","567698727","-628766857","1625.08","5.132","49.39999999999998","131","13","131","24.34",,
"1081887862","567698573","-628766182","1629.7","4.46","49.799999999999955","130","13","130","24.34",,
"1081887863","567698479","-628765529","1633.64","4.497","50.200000000000045","129","13","129","24.34",,
"1081887864","567698547","-628764706","1638.6","5.113","50.39999999999998","129","13","129","24.34",,
"1081887865","567698870","-628763887","1644.33","5.654","50.39999999999998","128","13","128","25.67",,
"1081887866","567699433","-628763185","1651.25","6.438","50.60000000000002","127","13","127","25.67",,
"1081887867","567700116","-628762728","1658.16","7.017","50.60000000000002","126","13","126","25.67",,
"1081887868","567700887","-628762418","1665.6","7.343","50.60000000000002","126","13","126","25.67",,
"1081887869","567701678","-628762086","1673.26","7.502","50.60000000000002","125","13","125","25.67",,
"1081887870","567702499","-628761747","1681.32","7.716","50.60000000000002","125","13","125","24.99",,
"1081887871","567703308","-628761403","1689.18","7.922","50.60000000000002","126","13","126","24.99",,
"1081887872","567704127","-628761054","1697.15","8.024","50.60000000000002","126","13","126","24.99",,
"1081887873","567704956","-628760674","1705.21","8.174","50.60000000000002","126","13","126","24.99",,
"1081887874","567705791","-628760301","1713.11","8.23","50.39999999999998","127","13","127","24.99",,
"1081887875","567706674","-628759966","1721.46","8.146","50.39999999999998","127","13","127","24.99",,
"1081887876","567707433","-628759194","1729.94","8.192","50.200000000000045","128","13","128","24.93",,
"1081887877","567707925","-628758108","1738.07","8.286","50.0","128","13","128","24.93",,
"1081887878","567708065","-628756798","1746.25","8.267","49.799999999999955","127","13","127","24.93",,
"1081887879","567707906","-628755357","1755.49","8.556","49.799999999999955","127","13","127","24.93",,
"1081887880","567707616","-628753985","1764.56","8.762","49.60000000000002","127","13","127","24.93",,
"1081887881","567707300","-628752619","1773.81","8.901","49.39999999999998","127","13","127","24.49",,
"1081887882","567707046","-628751262","1782.7","9.097","49.200000000000045","126","13","126","24.49",,
"1081887883","567706778","-628749918","1791.37","9.06","49.0","126","13","126","24.49",,
"1081887884","567706470","-628748478","1801.03","9.107","49.0","125","13","125","24.49",,
"1081887885","567706168","-628747137","1809.97","9.023","49.0","125","13","125","26.17",,
"1081887886","567705909","-628745828","1818.41","8.845","49.0","125","13","125","26.17",,
"1081887887","567705637","-628744472","1827.43","8.631","49.0","125","13","125","26.17",,
"1081887888","567705413","-628743194","1835.75","8.388","49.200000000000045","125","13","125","26.17",,
"1081887889","567705185","-628741950","1843.93","8.164","49.39999999999998","126","13","126","26.17",,
"1081887890","567704910","-628740776","1851.64","8.006","49.39999999999998","126","13","126","27.29",,
"1081887891","567704598","-628739585","1859.79","7.838","49.60000000000002","126","13","126","27.29",,
"1081887892","567704323","-628738442","1867.56","7.679","49.799999999999955","127","13","127","27.29",,
"1081887893","567704106","-628737355","1874.6","7.539","50.0","127","13","127","27.29",,
"1081887894","567703872","-628736231","1882.02","7.446","50.39999999999998","127","13","127","27.29",,
"1081887895","567703626","-628735156","1889.18","7.287","50.799999999999955","128","12","128","27.25",,
"1081887896","567703374","-628734101","1896.23","7.185","51.0","128","12","128","27.25",,
"1081887897","567703136","-628733052","1903.15","6.998","51.39999999999998","128","12","128","27.25",,
"1081887898","567702886","-628732018","1910.1","6.867","51.60000000000002","128","12","128","27.25",,
"1081887899","567702681","-628730981","1916.89","6.793","51.799999999999955","129","12","129","27.25",,
"1081887900","567702445","-628729943","1923.72","6.83","52.200000000000045","129","12","129","27.61",,
"1081887901","567702198","-628728877","1930.88","6.83","52.799999999999955","129","12","129","27.61",,
"1081887902","567701925","-628727860","1937.86","6.849","53.0","130","12","130","27.61",,
"1081887903","567701610","-628726896","1944.56","6.933","53.39999999999998","130","12","130","27.61",,
"1081887904","567701195","-628725944","1951.7","7.166","53.39999999999998","130","12","130","27.61",,
"1081887905","567700741","-628724987","1959.11","7.474","53.799999999999955","130","12","130","27.46",,
"1081887906","567700213","-628724054","1966.71","7.922","53.799999999999955","130","12","130","27.46",,
"1081887907","567699568","-628723152","1974.88","8.388","54.0","131","12","131","27.46",,
"1081887908","567698825","-628722278","1983.72","8.845","54.0","131","12","131","27.46",,
"1081887909","567698045","-628721381","1992.97","9.219","53.799999999999955","131","12","131","27.46",,
"1081887910","567697240","-628720438","2002.53","9.648","53.799999999999955","131","12","131","26.18",,
"1081887911","567696425","-628719414","2012.47","10.096","53.39999999999998","131","12","131","26.18",,
"1081887912","567695598","-628718307","2022.87","10.488","53.0","131","12","131","26.18",,
"1081887913","567694821","-628717068","2033.45","10.786","52.60000000000002","131","12","131","26.18",,
"1081887914","567694069","-628715685","2044.69","11.206","52.200000000000045","131","12","131","26.18",,
"1081887915","567693373","-628714206","2056.04","11.561","51.39999999999998","132","12","132","26.18",,
"1081887916","567692755","-628712602","2067.58","11.869","50.60000000000002","132","12","132","25.33",,
"1081887917","567692176","-628710846","2079.92","12.214","49.60000000000002","131","12","131","25.33",,
"1081887918","567691697","-628708992","2092.43","12.466","49.200000000000045","131","12","131","25.33",,
"1081887919","567691306","-628707069","2105.04","12.736","48.39999999999998","131","12","131","25.33",,
"1081887920","567691046","-628705030","2118.08","12.97","47.39999999999998","131","12","131","25.33",,
"1081887921","567690902","-628702916","2131.58","13.194","46.60000000000002","131","12","131","23.58",,
"1081887922","567690853","-628700814","2144.86","13.474","45.60000000000002","130","12","130","23.58",,
"1081887923","567690878","-628698680","2158.17","13.725","44.39999999999998","130","12","130","23.58",,
"1081887924","567690914","-628696431","2172.42","13.94","43.799999999999955","130","12","130","23.58",,
"1081887925","567690997","-628694188","2186.51","14.164","43.0","129","12","129","23.2",,
"1081887926","567691147","-628691870","2201.34","14.379","42.200000000000045","129","12","129","23.2",,
"1081887927","567691309","-628689602","2215.73","14.565","41.200000000000045","131","12","131","23.2",,
"1081887928","567691552","-628687312","2230.33","14.78","40.60000000000002","131","12","131","23.2",,
"1081887929","567691792","-628685015","2244.91","14.882","39.200000000000045","131","12","131","23.2",,
"1081887930","567692072","-628682655","2260.09","15.004","38.200000000000045","143","12","143","22.94",,
"1081887931","567692375","-628680310","2275.06","15.19","37.200000000000045","148","12","148","22.94",,
"1081887932","567692763","-628677939","2290.51","15.293","35.39999999999998","148","12","148","22.94",,
"1081887933","567693216","-628675613","2305.76","15.368","35.200000000000045","154","12","154","22.94",,
"1081887934","567693689","-628673265","2321.14","15.545","34.39999999999998","160","12","160","22.94",,
"1081887935","567694217","-628670870","2337.15","15.722","33.60000000000002","160","12","160","22.94",,
"1081887936","567694765","-628668518","2352.76","15.899","32.200000000000045","160","12","160","22.94",,
"1081887937","567695364","-628666164","2368.53","16.002","31.0","160","12","160","22.94",,
"1081887938","567696024","-628663799","2384.64","16.058","30.200000000000045","159","12","159","22.94",,
"1081887939","567696688","-628661382","2401.1","16.198","29.200000000000045","158","11","158","22.94",,
"1081887940","567697490","-628659063","2417.46","16.282","28.200000000000045","157","11","157","22.94",,
