record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.altitude[m],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],record.developer.1.target_power[watts],
"1110402864","-138835888","1991866624","1310.46","4.399999999999977","9.043","207","108","89","4.399999999999977","9.043","0",
"1110402865","-138835712","1991867520","1319.47","4.399999999999977","9.145","196","108","83","4.399999999999977","9.145","0",
"1110402866","-138835536","1991868416","1328.58","4.399999999999977","9.252","215","108","84","4.399999999999977","9.252","0",
"1110402867","-138835360","1991869568","1338.03","4.399999999999977","9.345","169","108","85","4.399999999999977","9.345","0",
"1110402868","-138835168","1991870592","1347.43","4.199999999999989","9.436","167","108","85","4.199999999999989","9.436","0",
"1110402869","-138834960","1991871616","1356.94","4.199999999999989","9.57","188","108","86","4.199999999999989","9.57","0",
"1110402870","-138834768","1991872640","1366.45","4.0","9.753","178","108","87","4.0","9.753","0",
"1110402871","-138834544","1991873792","1376.48","3.8000000000000114","9.958","146","108","86","3.8000000000000114","9.958","0",
"1110402872","-138834256","1991874688","1386.58","3.3999999999999773","10.197","160","108","87","3.3999999999999773","10.197","0",
"1110402873","-138833952","1991875712","1396.76","3.1999999999999886","10.436","166","108","87","3.1999999999999886","10.436","0",
"1110402874","-138833680","1991876864","1407.3","2.8000000000000114","10.632","160","108","88","2.8000000000000114","10.632","0",
"1110402875","-138833440","1991878144","1417.98","2.6000000000000227","10.791","164","108","88","2.6000000000000227","10.791","0",
"1110402876","-138833200","1991879168","1428.88","2.1999999999999886","10.945","151","108","88","2.1999999999999886","10.945","0",
"1110402877","-138832944","1991880448","1439.95","2.0","11.099","175","108","89","2.0","11.099","0",
"1110402878","-138832752","1991881600","1451.32","1.8000000000000114","11.232","159","108","90","1.8000000000000114","11.232","0",
"1110402879","-138832624","1991882880","1462.45","1.3999999999999773","11.318","161","108","90","1.3999999999999773","11.318","0",
"1110402880","-138832528","1991884160","1473.75","1.1999999999999886","11.376","155","108","90","1.1999999999999886","11.376","0",
"1110402881","-138832448","1991885184","1485.04","1.0","11.419","155","108","89","1.0","11.419","0",
"1110402882","-138832416","1991886464","1496.63","0.8000000000000114","11.452","163","108","91","0.8000000000000114","11.452","0",
"1110402883","-138832432","1991887744","1508.09","0.6000000000000227","11.461","160","108","90","0.6000000000000227","11.461","0",
"1110402884","-138832528","1991889024","1519.38","0.6000000000000227","11.442","164","108","90","0.6000000000000227","11.442","0",
"1110402885","-138832688","1991890304","1530.97","0.39999999999997726","11.396","172","109","90","0.39999999999997726","11.396","0",
"1110402886","-138832928","1991891584","1542.27","0.39999999999997726","11.313","164","110","89","0.39999999999997726","11.313","0",
"1110402887","-138833200","1991892736","1553.57","0.39999999999997726","11.201","168","110","89","0.39999999999997726","11.201","0",
"1110402888","-138833472","1991893888","1564.6","0.39999999999997726","11.074","161","110","89","0.39999999999997726","11.074","0",
"1110402889","-138833824","1991895040","1575.68","0.39999999999997726","10.959","167","110","88","0.39999999999997726","10.959","0",
"1110402890","-138834192","1991896192","1586.59","0.39999999999997726","10.994","170","111","87","0.39999999999997726","10.994","0",
"1110402891","-138834592","1991897216","1597.68","0.39999999999997726","11.015","192","111","86","0.39999999999997726","11.015","0",
"1110402892","-138835088","1991898368","1608.73","0.6000000000000227","11.011","181","111","87","0.6000000000000227","11.011","0",
"1110402893","-138835648","1991899392","1619.6","0.6000000000000227","10.996","195","111","87","0.6000000000000227","10.996","0",
"1110402894","-138836256","1991900544","1630.72","0.6000000000000227","10.96","175","111","87","0.6000000000000227","10.96","0",
"1110402895","-138836896","1991901440","1641.66","0.6000000000000227","10.91","177","111","87","0.6000000000000227","10.91","0",
"1110402896","-138837568","1991902464","1652.49","0.6000000000000227","10.852","171","111","86","0.6000000000000227","10.852","0",
"1110402897","-138838256","1991903360","1663.32","0.6000000000000227","10.802","193","111","87","0.6000000000000227","10.802","0",
"1110402898","-138838992","1991904384","1674.01","0.6000000000000227","10.749","179","111","87","0.6000000000000227","10.749","0",
"1110402899","-138839744","1991905280","1684.8","0.6000000000000227","10.688","178","111","87","0.6000000000000227","10.688","0",
"1110402900","-138840528","1991906176","1695.41","0.6000000000000227","10.621","172","111","87","0.6000000000000227","10.621","0",
"1110402901","-138841360","1991906816","1706.09","0.6000000000000227","10.55","175","111","88","0.6000000000000227","10.55","0",
"1110402902","-138842208","1991907584","1716.57","0.6000000000000227","10.486","180","111","87","0.6000000000000227","10.486","0",
"1110402903","-138843088","1991908352","1726.91","0.6000000000000227","10.427","166","110","88","0.6000000000000227","10.427","0",
