record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1074910394","-259310864","1982515584","1220.59","147","24.399999999999977","9.397","278","83","24.399999999999977","9.397",
"1074910395","-259310000","1982516096","1230.17","147","24.200000000000045","9.766","259","83","24.200000000000045","9.766",
"1074910396","-259309120","1982516864","1240.14","148","24.0","10.15","254","84","24.0","10.15",
"1074910397","-259308208","1982517632","1250.42","148","23.600000000000023","10.402","227","84","23.600000000000023","10.402",
"1074910398","-259307328","1982518272","1260.99","148","23.200000000000045","10.726","202","86","23.200000000000045","10.726",
"1074910399","-259306416","1982519040","1271.92","148","22.799999999999955","11.135","252","87","22.799999999999955","11.135",
"1074910400","-259305456","1982519936","1283.28","148","22.399999999999977","11.566","259","87","22.399999999999977","11.566",
"1074910401","-259304368","1982520448","1295.05","148","22.0","11.953","254","88","22.0","11.953",
"1074910402","-259303104","1982520832","1307.16","148","21.799999999999955","12.246","262","88","21.799999999999955","12.246",
"1074910403","-259301904","1982520320","1319.53","148","21.399999999999977","12.503","271","90","21.399999999999977","12.503",
"1074910404","-259300992","1982519168","1332.19","148","21.0","12.81","282","90","21.0","12.81",
"1074910405","-259300272","1982517888","1345.16","147","20.600000000000023","13.106","222","91","20.600000000000023","13.106",
"1074910406","-259299648","1982516480","1358.36","147","20.0","13.253","203","92","20.0","13.253",
"1074910407","-259298992","1982515200","1371.66","147","19.600000000000023","13.35","189","91","19.600000000000023","13.35",
"1074910408","-259297920","1982514304","1385.08","147","19.0","13.512","206","92","19.0","13.512",
"1074910409","-259296880","1982515200","1398.63","146","18.600000000000023","13.605","204","92","18.600000000000023","13.605",
"1074910410","-259296464","1982516608","1412.26","146","18.200000000000045","13.681","233","92","18.200000000000045","13.681",
"1074910411","-259295392","1982517632","1426.07","146","17.799999999999955","13.919","213","92","17.799999999999955","13.919",
"1074910412","-259293920","1982517632","1440.09","147","17.399999999999977","14.097","288","91","17.399999999999977","14.097",
"1074910413","-259292848","1982516480","1454.16","147","17.399999999999977","14.048","272","93","17.399999999999977","14.048",
"1074910414","-259292320","1982514816","1468.25","147","17.200000000000045","14.153","247","94","17.200000000000045","14.153",
"1074910415","-259291600","1982513536","1482.51","147","16.600000000000023","14.354","239","94","16.600000000000023","14.354",
"1074910416","-259290096","1982513152","1497.0","147","16.0","14.626","212","94","16.0","14.626",
"1074910417","-259288544","1982513536","1511.73","146","15.600000000000023","14.8","230","93","15.600000000000023","14.8",
"1074910418","-259286960","1982513792","1526.59","146","15.200000000000045","14.947","196","94","15.200000000000045","14.947",
"1074910419","-259285856","1982512512","1541.6","146","14.600000000000023","15.079","252","94","14.600000000000023","15.079",
"1074910420","-259285296","1982510848","1556.76","146","14.200000000000045","15.234","244","94","14.200000000000045","15.234",
"1074910421","-259284928","1982509184","1572.03","145","14.0","15.278","184","94","14.0","15.278",
"1074910422","-259284704","1982507392","1587.25","145","13.799999999999955","15.188","207","92","13.799999999999955","15.188",
"1074910423","-259284496","1982505728","1602.42","145","13.600000000000023","15.128","212","93","13.600000000000023","15.128",
"1074910424","-259284320","1982503936","1617.48","145","13.399999999999977","14.974","225","92","13.399999999999977","14.974",
"1074910425","-259283360","1982502656","1632.33","144","13.799999999999955","14.63","231","92","13.799999999999955","14.63",
"1074910426","-259281920","1982502784","1646.67","144","14.200000000000045","14.101","251","91","14.200000000000045","14.101",
"1074910427","-259281200","1982504320","1660.52","144","14.600000000000023","13.616","246","89","14.600000000000023","13.616",
"1074910428","-259280656","1982505600","1673.91","143","15.0","13.209","260","88","15.0","13.209",
"1074910429","-259279440","1982506240","1686.96","143","15.399999999999977","12.829","279","88","15.399999999999977","12.829",
"1074910430","-259278192","1982505856","1699.6","143","15.600000000000023","12.523","244","87","15.600000000000023","12.523",
"1074910431","-259277600","1982504704","1711.98","142","15.799999999999955","12.272","286","86","15.799999999999955","12.272",
