record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.heart_rate[bpm],record.temperature[C],record.unknown,record.enhanced_respiration_rate[Breaths/min],record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1082556539","444.34","47.0","121","18","1","22.73","567627601","-628858121","8.351",
"1082556540","452.65","46.799999999999955","121","18","1","22.73","567626746","-628857717","8.444",
"1082556541","461.18","46.39999999999998","121","18","1","22.73","567625881","-628857310","8.435",
"1082556542","469.62","46.39999999999998","121","18","1","22.73","567625018","-628856903","8.519",
"1082556543","478.09","46.200000000000045","121","18","1","22.73","567624141","-628856511","8.668",
"1082556544","487.0","45.799999999999955","121","18","1","22.73","567623237","-628856112","8.771",
"1082556545","495.84","45.60000000000002","121","18","1","22.73","567622348","-628855657","8.957",
"1082556546","504.59","45.200000000000045","121","18","1","22.73","567621439","-628855236","9.265",
"1082556547","514.01","44.60000000000002","122","18","1","22.73","567620456","-628854832","9.639",
"1082556548","524.08","44.39999999999998","122","18","1","22.73","567619405","-628854420","10.105",
"1082556549","534.8","43.799999999999955","122","18","1","22.73","567618292","-628853982","10.562",
"1082556550","546.02","43.200000000000045","122","18","1","22.73","567617127","-628853578","10.992",
"1082556551","557.6","42.60000000000002","122","18","1","22.73","567615919","-628853191","11.505",
"1082556552","569.64","41.799999999999955","124","18","1","22.73","567614646","-628852901","12.149",
"1082556553","582.19","40.60000000000002","124","18","1","22.73","567613306","-628852729","12.876",
"1082556554","595.22","40.0","124","18","1","22.73","567611894","-628852589","13.53",
"1082556555","609.24","38.799999999999955","124","17","1","22.73","567610385","-628852474","14.155",
"1082556556","624.0","37.39999999999998","124","17","1","22.73","567608805","-628852378","14.64",
"1082556557","639.09","36.0","124","17","1","22.73","567607186","-628852261","15.097",
"1082556558","654.41","33.60000000000002","124","17","1","22.73","567605543","-628852140","15.302",
"1082556559","670.08","32.200000000000045","124","17","1","22.73","567603870","-628852070","15.414",
"1082556560","685.54","30.799999999999955","0","17","1","22.73","567602222","-628851968","15.33",
"1082556561","700.28","29.0","0","17","1","22.73","567600627","-628851882","15.013",
"1082556562","715.26","27.399999999999977","0","17","1","27.98","567599023","-628851816","14.715",
"1082556563","729.75","26.200000000000045","0","17","1","27.98","567597475","-628851709","14.22",
