record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.temperature[C],record.unknown,record.position_lat[semicircles],record.position_long[semicircles],record.enhanced_speed[m/s],
"1084815954","732.24","87.79999999999995","20","1","567621836","-628855265","9.405",
"1084815955","741.76","87.39999999999998","20","1","567620857","-628854820","9.667",
"1084815956","751.72","87.0","20","1","567619825","-628854387","10.105",
"1084815957","762.33","86.20000000000005","20","1","567618733","-628853932","10.516",
"1084815958","773.23","84.0","20","1","567617596","-628853493","10.954",
"1084815959","784.62","82.20000000000005","20","1","567616397","-628853110","11.477",
"1084815960","796.68","81.60000000000002","20","1","567615120","-628852786","12.037",
"1084815961","809.47","79.60000000000002","20","1","567613762","-628852545","12.643",
"1084815962","822.73","76.20000000000005","20","1","567612345","-628852393","13.231",
"1084815963","836.5","75.39999999999998","20","1","567610873","-628852291","13.772",
"1084815964","850.83","73.0","20","1","567609356","-628852212","14.313",
"1084815965","864.93","70.79999999999995","20","1","567607825","-628852106","14.789",
"1084815966","879.72","68.20000000000005","20","1","567606230","-628851987","14.985",
"1084815967","894.87","66.0","20","1","567604607","-628851903","15.088",
"1084815968","910.08","62.39999999999998","20","1","567602984","-628851782","15.06",
"1084815969","925.02","60.0","20","1","567601388","-628851684","14.929",
"1084815970","939.66","58.799999999999955","20","1","567599810","-628851625","14.752",
"1084815971","954.23","55.799999999999955","20","1","567598258","-628851551","14.453",
"1084815972","968.23","53.799999999999955","20","1","567596759","-628851464","14.052",
"1084815973","981.91","52.0","20","1","567595296","-628851404","13.725",
"1084815974","994.95","50.799999999999955","20","1","567593888","-628851390","13.324",
"1084815975","1008.18","50.39999999999998","20","1","567592501","-628851453","12.97",
"1084815976","1020.35","49.60000000000002","20","1","567591197","-628851489","12.652",
"1084815977","1032.14","48.60000000000002","20","1","567589917","-628851594","12.428",
"1084815978","1043.81","48.0","19","1","567588637","-628851746","12.205",
"1084815979","1056.09","46.60000000000002","19","1","567587338","-628851909","11.803",
"1084815980","1067.6","46.0","19","1","567586108","-628852066","11.439",
"1084815981","1078.7","45.39999999999998","19","1","567584921","-628852240","11.029",
"1084815982","1089.56","45.0","19","1","567583764","-628852441","10.693",
"1084815983","1100.21","44.60000000000002","19","1","567582636","-628852581","10.376",
"1084815984","1110.15","44.200000000000045","19","1","567581571","-628852745","10.03",
"1084815985","1119.58","44.200000000000045","19","1","567580541","-628852892","9.732",
"1084815986","1129.29","44.0","19","1","567579512","-628853115","9.527",
"1084815987","1138.56","43.39999999999998","19","1","567578541","-628853466","9.265",
"1084815988","1147.28","43.60000000000002","19","1","567577616","-628853805","8.864",
"1084815989","1156.45","43.39999999999998","19","1","567576710","-628854309","8.547",
"1084815990","1164.17","43.0","19","1","567575948","-628854786","7.688",
"1084815991","1171.18","42.39999999999998","19","1","567575273","-628855260","6.83",
"1084815992","1177.27","42.200000000000045","19","1","567574693","-628855683","6.0",
"1084815993","1182.1","42.39999999999998","19","1","567574209","-628855951","5.039",
"1084815994","1186.49","42.60000000000002","19","1","567573761","-628856212","4.656",
"1084815995","1190.77","42.799999999999955","19","1","567573320","-628856446","4.311",
"1084815996","1194.9","43.39999999999998","19","1","567572924","-628856742","4.003",
"1084815997","1198.79","43.799999999999955","19","1","567572544","-628856996","3.788",
"1084815998","1202.61","44.0","19","1","567572164","-628857228","3.704",
"1084815999","1206.2","44.0","19","1","567571831","-628857488","3.536",
"1084816000","1209.69","44.200000000000045","19","1","567571516","-628857795","3.536",
"1084816001","1213.24","44.0","19","1","567571191","-628858055","3.434",
